date,births
1841-01-01,254
1841-02-01,239
1841-03-01,277
1841-04-01,255
1841-05-01,255
1841-06-01,200
1841-07-01,190
1841-08-01,222
1841-09-01,213
1841-10-01,236
1841-11-01,235
1842-01-01,307
1842-02-01,311
1842-03-01,264
1842-04-01,242
1842-05-01,310
1842-06-01,273
1842-07-01,231
1842-08-01,216
1842-09-01,223
1842-10-01,242
1842-11-01,209
1842-12-01,239
1843-01-01,272
1843-02-01,263
1843-03-01,266
1843-04-01,285
1843-05-01,246
1843-06-01,196
1843-07-01,191
1843-08-01,193
1843-09-01,221
1843-10-01,250
1843-11-01,252
1843-12-01,236
1844-01-01,244
1844-02-01,257
1844-03-01,276
1844-04-01,208
1844-05-01,240
1844-06-01,224
1844-07-01,206
1844-08-01,269
1844-09-01,245
1844-10-01,248
1844-11-01,245
1844-12-01,256
1845-01-01,303
1845-02-01,274
1845-03-01,292
1845-04-01,260
1845-05-01,296
1845-06-01,280
1845-07-01,245
1845-08-01,251
1845-09-01,237
1845-10-01,283
1845-11-01,265
1845-12-01,267
1846-01-01,336
1846-02-01,293
1846-03-01,311
1846-04-01,253
1846-05-01,305
1846-06-01,266
1846-07-01,252
1846-08-01,216
1846-09-01,271
1846-10-01,254
1846-11-01,297
1846-12-01,298
1847-01-01,311
1847-02-01,312
1847-03-01,305
1847-04-01,312
1847-05-01,294
1847-06-01,268
1847-07-01,250
1847-08-01,264
1847-09-01,262
1847-10-01,278
1847-11-01,246
1847-12-01,273
1848-01-01,283
1848-02-01,291
1848-03-01,276
1848-04-01,305
1848-05-01,313
1848-06-01,264
1848-07-01,269
1848-08-01,261
1848-09-01,312
1848-10-01,299
1848-11-01,310
1848-12-01,373
1849-01-01,403
1849-02-01,389
1849-03-01,406
